season,round_number,voter,submitter,points,title,artist,submitted_obscurity,submitted_energy_pct,submitted_top_tag,spotify_uri
1,3,SusieQ,Tj,1,"99 Luftballons",Nena,22,21,80s,spotify:track:2IJftBfq7pJ43tfnOR0RB3
1,3,SusieQ,"Voltron’s YoungLion",-1,"Du hast",Rammstein,11,53,"industrial metal",spotify:track:6uEvFCaOqXyEidoO8BZbyh
1,3,SusieQ,missmara,1,"Hit Sale","Therapie TAXI, Roméo Elvis",92,55,,spotify:track:3yndKI4zWEyC36BQYrdKBA
1,3,Tj,"Jonathan Black",1,"Весна",Dolphin,71,43,,spotify:track:5vfg8mxKVeKIHMEvhcAEDN
1,3,Tj,Mashew,2,Abissama,"Incredible Polo",81,50,,spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl
1,3,Tj,"Philip Chapin",1,Gitana,"Derby Motoreta’s Burrito Kachimba",85,75,,spotify:track:3zG1Xt4ikeUWb8lDRogLx9
1,3,Tj,"Sarah S",2,Starman,"Seu Jorge",60,65,,spotify:track:1bcoI2VWqABMDhwoZHf5dp
1,3,Tj,"Voltron’s YoungLion",-1,"Du hast",Rammstein,11,53,"industrial metal",spotify:track:6uEvFCaOqXyEidoO8BZbyh
1,3,Tj,jac,1,"Malagueña","Lucas Imbiriba",93,40,,spotify:track:56K2S3d7eZZStjaSKSTgXm
1,3,Tj,missmara,1,"Hit Sale","Therapie TAXI, Roméo Elvis",92,55,,spotify:track:3yndKI4zWEyC36BQYrdKBA
1,3,jac,"Jonathan Black",-1,"Весна",Dolphin,71,43,,spotify:track:5vfg8mxKVeKIHMEvhcAEDN
1,3,jac,Mashew,1,Abissama,"Incredible Polo",81,50,,spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl
1,3,jac,"Michael Layous",1,"Место наших встреч","Англия",80,84,,spotify:track:1m3cn9F4ROKoOr2uMGqmEh
1,3,jac,"Philip Chapin",1,Gitana,"Derby Motoreta’s Burrito Kachimba",85,75,,spotify:track:3zG1Xt4ikeUWb8lDRogLx9
1,3,jac,"Sarah S",1,Starman,"Seu Jorge",60,65,,spotify:track:1bcoI2VWqABMDhwoZHf5dp
1,3,jac,SusieQ,1,"El Matador","Los Fabulosos Cadillacs",62,41,,spotify:track:3EsjrObXPhXA79Cr4QixY8
1,3,jac,Tj,1,"99 Luftballons",Nena,22,21,80s,spotify:track:2IJftBfq7pJ43tfnOR0RB3
1,3,jac,"Voltron’s YoungLion",1,"Du hast",Rammstein,11,53,"industrial metal",spotify:track:6uEvFCaOqXyEidoO8BZbyh
1,3,jac,missmara,1,"Hit Sale","Therapie TAXI, Roméo Elvis",92,55,,spotify:track:3yndKI4zWEyC36BQYrdKBA
1,3,missmara,"Jonathan Black",1,"Весна",Dolphin,71,43,,spotify:track:5vfg8mxKVeKIHMEvhcAEDN
1,3,missmara,Mashew,2,Abissama,"Incredible Polo",81,50,,spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl
1,3,missmara,"Michael Layous",3,"Место наших встреч","Англия",80,84,,spotify:track:1m3cn9F4ROKoOr2uMGqmEh
1,3,missmara,"Philip Chapin",1,Gitana,"Derby Motoreta’s Burrito Kachimba",85,75,,spotify:track:3zG1Xt4ikeUWb8lDRogLx9
1,3,missmara,"Sarah S",1,Starman,"Seu Jorge",60,65,,spotify:track:1bcoI2VWqABMDhwoZHf5dp
1,3,missmara,"Voltron’s YoungLion",0,"Du hast",Rammstein,11,53,"industrial metal",spotify:track:6uEvFCaOqXyEidoO8BZbyh
1,3,missmara,jac,-1,"Malagueña","Lucas Imbiriba",93,40,,spotify:track:56K2S3d7eZZStjaSKSTgXm
1,4,"Jonathan Black","Jonathan Black",0,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,"Jonathan Black",Mashew,1,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,"Jonathan Black","Michael Layous",0,"Slow Burn","Kacey Musgraves",34,61,,spotify:track:6ET9kf9riLETWs9lePUEAI
1,4,"Jonathan Black","Philip Chapin",1,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,"Jonathan Black","Sarah S",5,"Por Un Amor","Linda Ronstadt",85,36,,spotify:track:0Roy7wwiH17bJT5CsZTMtP
1,4,"Jonathan Black",SusieQ,-1,Weak,SWV,44,29,,spotify:track:71EHOyEOhNx1SzTebRRyng
1,4,"Jonathan Black","Voltron’s YoungLion",0,"Stoned at the Nail Salon",Lorde,22,23,,spotify:track:38Zs2b75JPNB2tS7O7JQnS
1,4,"Jonathan Black",missmara,1,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,Mashew,"Michael Layous",1,"Slow Burn","Kacey Musgraves",34,61,,spotify:track:6ET9kf9riLETWs9lePUEAI
1,4,Mashew,"Philip Chapin",2,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,Mashew,SusieQ,-1,Weak,SWV,44,29,,spotify:track:71EHOyEOhNx1SzTebRRyng
1,4,Mashew,"Voltron’s YoungLion",1,"Stoned at the Nail Salon",Lorde,22,23,,spotify:track:38Zs2b75JPNB2tS7O7JQnS
1,4,Mashew,jac,1,"Keep on Loving You","REO Speedwagon",37,41,,spotify:track:4rcHWl68ai6KvpXlc8vbnE
1,4,Mashew,missmara,3,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,"Michael Layous","Jonathan Black",1,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,"Michael Layous",Mashew,2,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,"Michael Layous","Philip Chapin",0,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,"Michael Layous","Sarah S",-1,"Por Un Amor","Linda Ronstadt",85,36,,spotify:track:0Roy7wwiH17bJT5CsZTMtP
1,4,"Michael Layous",SusieQ,1,Weak,SWV,44,29,,spotify:track:71EHOyEOhNx1SzTebRRyng
1,4,"Michael Layous",Tj,2,"I Believe in a Thing Called Love","The Darkness",24,90,rock,spotify:track:756CJtQRFSxEx9jV4P9hpA
1,4,"Michael Layous","Voltron’s YoungLion",1,"Stoned at the Nail Salon",Lorde,22,23,,spotify:track:38Zs2b75JPNB2tS7O7JQnS
1,4,"Michael Layous",missmara,1,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,"Philip Chapin","Jonathan Black",-1,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,"Philip Chapin",Mashew,1,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,"Philip Chapin","Sarah S",1,"Por Un Amor","Linda Ronstadt",85,36,,spotify:track:0Roy7wwiH17bJT5CsZTMtP
1,4,"Philip Chapin",Tj,3,"I Believe in a Thing Called Love","The Darkness",24,90,rock,spotify:track:756CJtQRFSxEx9jV4P9hpA
1,4,"Philip Chapin",jac,2,"Keep on Loving You","REO Speedwagon",37,41,,spotify:track:4rcHWl68ai6KvpXlc8vbnE
1,4,"Philip Chapin",missmara,1,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,"Sarah S","Jonathan Black",-1,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,"Sarah S","Philip Chapin",2,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,"Sarah S",SusieQ,2,Weak,SWV,44,29,,spotify:track:71EHOyEOhNx1SzTebRRyng
1,4,"Sarah S",Tj,2,"I Believe in a Thing Called Love","The Darkness",24,90,rock,spotify:track:756CJtQRFSxEx9jV4P9hpA
1,4,"Sarah S",jac,2,"Keep on Loving You","REO Speedwagon",37,41,,spotify:track:4rcHWl68ai6KvpXlc8vbnE
1,4,SusieQ,"Jonathan Black",1,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,SusieQ,Mashew,4,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,SusieQ,"Michael Layous",2,"Slow Burn","Kacey Musgraves",34,61,,spotify:track:6ET9kf9riLETWs9lePUEAI
1,4,SusieQ,"Philip Chapin",1,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,SusieQ,missmara,-1,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,Tj,"Jonathan Black",1,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,Tj,Mashew,2,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,Tj,"Philip Chapin",0,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,Tj,"Sarah S",-1,"Por Un Amor","Linda Ronstadt",85,36,,spotify:track:0Roy7wwiH17bJT5CsZTMtP
1,4,Tj,SusieQ,3,Weak,SWV,44,29,,spotify:track:71EHOyEOhNx1SzTebRRyng
1,4,Tj,"Voltron’s YoungLion",1,"Stoned at the Nail Salon",Lorde,22,23,,spotify:track:38Zs2b75JPNB2tS7O7JQnS
1,4,Tj,missmara,1,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,"Voltron’s YoungLion",Mashew,1,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,"Voltron’s YoungLion","Michael Layous",4,"Slow Burn","Kacey Musgraves",34,61,,spotify:track:6ET9kf9riLETWs9lePUEAI
1,4,"Voltron’s YoungLion","Philip Chapin",-1,"Just Kiss Me","Harry Connick, Jr.",86,37,,spotify:track:4r8thRU9mwxBvb1LlXma1p
1,4,"Voltron’s YoungLion",Tj,1,"I Believe in a Thing Called Love","The Darkness",24,90,rock,spotify:track:756CJtQRFSxEx9jV4P9hpA
1,4,"Voltron’s YoungLion",missmara,2,DUMB,"Noga Erez",82,75,,spotify:track:2Pul6SaLL8e0sQhJDBVOr1
1,4,missmara,"Jonathan Black",2,"Low (feat. T-Pain)","Flo Rida, T-Pain",20,53,Hip-Hop,spotify:track:0CAfXk7DXMnon4gLudAp7J
1,4,missmara,Mashew,2,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,4,missmara,"Michael Layous",-1,"Slow Burn","Kacey Musgraves",34,61,,spotify:track:6ET9kf9riLETWs9lePUEAI
1,4,missmara,SusieQ,1,Weak,SWV,44,29,,spotify:track:71EHOyEOhNx1SzTebRRyng
1,4,missmara,Tj,2,"I Believe in a Thing Called Love","The Darkness",24,90,rock,spotify:track:756CJtQRFSxEx9jV4P9hpA
1,4,missmara,jac,1,"Keep on Loving You","REO Speedwagon",37,41,,spotify:track:4rcHWl68ai6KvpXlc8vbnE
1,5,"Jonathan Black",Mashew,0,"Long Legged Larry","Aesop Rock",75,38,,spotify:track:0OX9lzZxKlbtn3c2d97uqz
1,5,"Jonathan Black","Michael Layous",-1,"For Nancy ('Cos It Already Is)","Pete Yorn",73,40,,spotify:track:2Vin9asYhJvyvBvGMAyi0f
1,5,"Jonathan Black","Philip Chapin",1,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie",98,10,,spotify:track:37ZpnrZEiA9roiTZDBz6dw
1,5,"Jonathan Black","Sarah S",3,"Paradise By the Dashboard Light","Meat Loaf",48,33,,spotify:track:2g7gviEeJr6pyxO7G35EWQ
1,5,"Jonathan Black",SusieQ,2,Galahad,"Josh Ritter",84,22,,spotify:track:2lWY3EmnZuH2b1f3Sjh5J8
1,5,"Jonathan Black",Tj,0,"Roller Skates","Steel Pulse",69,23,,spotify:track:3ciMXKwXlLCFcQCyhKblZs
1,5,"Jonathan Black","Voltron’s YoungLion",2,"Mr. Shorty","Marty Robbins",78,35,,spotify:track:1I6883eWftxG6oq5SYWPXd
1,5,"Jonathan Black",jac,0,Regulate,"Warren G, Nate Dogg",30,69,Hip-Hop,spotify:track:7nYvUtkQMx1v80S2FH2s9J
